genotipo,placa,experimento,id_planta,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15, is_curly
sa,8,III,94,0,1,4.5,7,11,16,22,27,31,37,40,41,-,-,-,
sa,8,III,95,0,1.5,4.5,7.5,11,17,23,28,32,39,44,46,-,-,-,
sa,8,III,96,0,0.75,4,6.5,10,14,17,22,25,30,31,32,-,-,-,
wt,9,III,97,0,1,2,4,7.5,7.5,17,22,27,32,39,46,50,61,,
wt,9,III,98,0.1,1.5,4.5,8,12,17,24,30,36,45,54,67,78,85,,
wt,9,III,99,0,0.5,3,5.5,9,13.5,19,24,30,38,44,50,54,65,,
wt,9,III,100,0,1,4,7,12,17,23,29,35,46,55,66,76,87,,
wt,9,III,101,0,0.75,4.5,8,12,17,23,30,35,44,54,67,78,85,,
wt,9,III,102,0,0.5,2.5,3,3,3,3,3,3,3,3,3,3,3,,
sa,9,III,103,0,1,5.5,9,13,19,25,31,37,47,57,67,77,85,,
sa,9,III,104,0,1,4,7.5,12,17,22,28,26,44,54,65,75,85,,
sa,9,III,105,0,0.75,4,5.5,6,6,6,7,7,8,8,10,10,15,,
sa,9,III,106,0,1.5,5,8.5,13,17,24,29,35,43,52,63,73,86,,
sa,9,III,107,0,1,4,7,11.5,17,23,29,35,45,54,66,79,87,,
sa,9,III,108,0,1,4,7.5,12,17,23,28,34,42,51,62,75,87,,
wt,10,IV,109,0,1,3,4,4.5,4.5,4.5,4.5,4.5,-,-,-,-,-,-,
wt,10,IV,110,0.1,1.5,4,5,6.5,8.5,12,15,18,-,-,-,-,-,-,
wt,10,IV,111,0.1,2,4,6,8,10.5,15,17,19,-,-,-,-,-,-,
wt,10,IV,112,0.1,2,4.5,5.5,5.5,5.5,5.5,6,6,-,-,-,-,-,-,
wt,10,IV,113,0,0.5,2.5,2.5,2.5,3,3.5,3.5,3.5,-,-,-,-,-,-,
wt,10,IV,114,0,1,2.5,3,3,3.5,3.5,3.5,3.5,-,-,-,-,-,-,
sa,10,IV,115,0.25,2.5,4.5,7.5,10,12,16,20,26,-,-,-,-,-,-,
sa,10,IV,116,0,1.5,4.5,8,11,15,22,28,39,-,-,-,-,-,-,
sa,10,IV,117,0,1,3.5,6,9,12,18,24,31,-,-,-,-,-,-,
sa,10,IV,118,0,1,3,3.5,3.5,3.5,3.5,3.5,3.5,-,-,-,-,-,-,
sa,10,IV,119,0,1,2,2,5,8.5,13,16,18,-,-,-,-,-,-,curly
sa,10,IV,120,0,1.5,2,2,2,2,2,2,2,-,-,-,-,-,-,
wt,11,IV,121,0.1,1.5,4,6,7,8.5,13,16,22,-,-,-,-,-,-,
wt,11,IV,122,0,1.5,3,3,3,3,3,3,3,-,-,-,-,-,-,
wt,11,IV,123,0,1.5,3.5,4,4,4,4,4,4,-,-,-,-,-,-,
wt,11,IV,124,0,1,2,2.5,2.5,3,3,3,3,-,-,-,-,-,-,
wt,11,IV,125,0,1,3,3.5,3.5,3.5,4,4,4,-,-,-,-,-,-,
wt,11,IV,126,0,1.25,3,4.5,4.5,4.5,4.5,4.5,4.5,-,-,-,-,-,-,
sa,11,IV,127,0,1.5,3,3,4,7,12,16,23,-,-,-,-,-,-,
sa,11,IV,128,0,1.25,3.5,6.5,9,13,20,25,34,-,-,-,-,-,-,
sa,11,IV,129,0,1.5,3.5,4,4.5,4.5,5,5,9,-,-,-,-,-,-,
sa,11,IV,130,0,2,4,7,10,14,20,28,36,-,-,-,-,-,-,
sa,11,IV,131,0.25,2.5,6,9,12.5,16.5,21,30,39,-,-,-,-,-,-,
sa,11,IV,132,0.1,2,4.5,7,10,14,20,25,32,-,-,-,-,-,-,
