genotipo,placa,experimento,id_planta,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
sa,3,I,35,0,0,0,0,0,0,0,0,3,5,11,15,19,27,29
sa,3,I,36,0,0,0,0,0,0,0,1,6,9,15,17,26,29,31
wt,4,II,37,0,0,0,0,0,0,1,1,5,8,13,19,27,-,-
wt,4,II,38,0,0,0,0,0,0,1,4,5,7,9,16,23,-,-
wt,4,II,39,0,0,0,0,0,0,0,0,1,1,3,5,8,-,-
wt,4,II,40,0,0,0,0,0,0,0,0,0,0,2,5,8,-,-
wt,4,II,41,0,0,0,0,0,0,0,0,2,6,9,15,19,-,-
wt,4,II,42,0,0,0,0,0,0,0,0,2,2,5,7,11,-,-
sa,4,II,43,0,0,0,0,0,0,0,2,2,12,13,15,22,-,-
sa,4,II,44,0,0,0,0,0,2,2,5,8,13,9,24,33,-,-
sa,4,II,45,0,0,0,0,0,0,1,3,5,7,3,12,15,-,-
sa,4,II,46,0,0,0,0,0,1,4,5,11,16,20,28,33,-,-
sa,4,II,47,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
sa,4,II,48,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
wt,5,II,49,0,0,0,0,0,0,1,1,3,5,10,13,22,-,-
wt,5,II,50,0,0,0,0,0,0,0,1,3,8,9,14,20,-,-
wt,5,II,51,0,0,0,0,0,0,1,3,4,7,11,15,22,-,-
wt,5,II,52,0,0,0,0,0,0,1,5,6,11,17,25,31,-,-
wt,5,II,53,0,0,0,0,0,0,0,1,1,4,8,10,15,-,-
wt,5,II,54,0,0,0,0,0,0,0,1,1,4,4,8,11,-,-
sa,5,II,55,0,0,0,0,0,0,0,3,5,7,8,11,14,-,-
sa,5,II,56,0,0,0,0,0,1,3,6,8,10,16,23,28,-,-
sa,5,II,57,0,0,0,0,0,0,1,5,6,10,12,16,20,-,-
sa,5,II,58,0,0,0,0,0,1,1,4,6,8,10,17,23,-,-
sa,5,II,59,0,0,0,0,0,0,0,0,0,1,1,4,8,-,-
sa,5,II,60,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
wt,6,II,61,0,0,0,0,0,0,0,0,1,1,5,9,15,-,-
wt,6,II,62,0,0,0,0,0,0,0,1,5,11,16,23,31,-,-
wt,6,II,63,0,0,0,0,0,0,0,0,1,4,7,13,18,-,-
wt,6,II,64,0,0,0,0,0,0,0,0,1,3,9,14,21,-,-
wt,6,II,65,0,0,0,0,0,0,0,0,1,2,6,12,18,-,-
wt,6,II,66,0,0,0,0,0,0,0,0,0,3,12,15,23,-,-
sa,6,II,67,0,0,0,0,0,0,0,1,3,6,9,15,20,-,-
sa,6,II,68,0,0,0,0,0,0,0,0,1,4,4,9,15,-,-
sa,6,II,69,0,0,0,0,0,0,0,0,1,2,4,7,9,-,-
sa,6,II,70,0,0,0,0,0,0,0,0,0,3,6,10,11,-,-
sa,6,II,71,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
sa,6,II,72,0,0,0,0,0,0,0,2,4,5,8,12,19,-,-
wt,7,III,73,0,0,0,0,0,0,1,3,3,5,9,15,-,-,-
wt,7,III,74,0,0,0,0,0,1,2,2,3,6,11,14,-,-,-
wt,7,III,75,0,0,0,0,0,0,0,0,2,8,18,25,-,-,-
wt,7,III,76,0,0,0,0,0,0,0,2,2,6,7,11,-,-,-
wt,7,III,77,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
wt,7,III,78,0,0,0,0,0,0,0,0,2,2,10,12,-,-,-
sa,7,III,79,0,0,0,0,0,0,0,1,2,5,9,9,-,-,-
sa,7,III,80,0,0,0,0,0,0,0,1,2,3,7,11,-,-,-
sa,7,III,81,0,0,0,0,0,0,0,3,4,4,6,9,-,-,-
sa,7,III,82,0,0,0,0,0,0,0,0,1,1,6,8,-,-,-
sa,7,III,83,0,0,0,0,0,0,2,2,4,8,11,15,-,-,-
sa,7,III,84,0,0,0,0,0,0,0,0,1,1,2,3,-,-,-
wt,8,III,85,0,0,0,0,0,0,0,0,0,6,10,12,-,-,-
wt,8,III,86,0,0,0,0,0,0,0,0,2,8,10,10,-,-,-
wt,8,III,87,0,0,0,0,0,0,0,1,2,5,7,11,-,-,-
wt,8,III,88,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
wt,8,III,89,0,0,0,0,0,0,0,0,1,1,2,2,-,-,-
wt,8,III,90,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
sa,8,III,91,0,0,0,0,0,0,3,4,10,14,18,23,-,-,-
sa,8,III,92,0,0,0,0,0,0,0,3,5,9,13,18,-,-,-
sa,8,III,93,0,0,0,0,0,0,0,3,5,7,7,11,-,-,-
sa,8,III,94,0,0,0,0,0,0,2,4,10,14,17,20,-,-,-
sa,8,III,95,0,0,0,0,0,0,1,6,9,14,16,16,-,-,-
sa,8,III,96,0,0,0,0,0,0,0,2,2,6,10,10,-,-,-
wt,9,III,97,0,0,0,0,0,0,0,0,2,10,12,17,-,-,-
wt,9,III,98,0,0,0,0,0,1,3,4,7,9,13,15,-,-,-
wt,9,III,99,0,0,0,0,0,0,1,2,4,11,13,20,-,-,-
wt,9,III,100,0,0,0,0,0,0,0,2,3,5,9,18,-,-,-
wt,9,III,101,0,0,0,0,0,1,3,4,6,8,11,21,-,-,-
wt,9,III,102,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
sa,9,III,103,0,0,0,0,0,1,1,2,3,6,10,14,-,-,-
sa,9,III,104,0,0,0,0,0,0,1,2,6,7,12,16,-,-,-
sa,9,III,105,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
sa,9,III,106,0,0,0,0,0,1,1,3,6,11,14,22,-,-,-
sa,9,III,107,0,0,0,0,0,0,1,1,4,7,13,21,-,-,-
sa,9,III,108,0,0,0,0,0,1,3,5,5,9,14,15,-,-,-
